runner,serializer,mode,events,time,size
bare,root,produce,1,0.240000,17607
bare,root,recon,1,0.245000,19270
bare,root,produce,10,0.240000,36154
bare,root,recon,10,0.250000,38264
bare,root,produce,100,0.282000,187647
bare,root,recon,100,0.294000,193431
bare,root,produce,1000,1.218000,1807058
bare,root,recon,1000,1.189000,1844027
bare,root,produce,10000,10.182000,18127363
bare,root,recon,10000,10.673000,18470721
bare,root,produce,100000,115.597000,178101402
bare,root,recon,100000,116.809000,181323939
bare,hdf5,produce,1,0.043000,78186
bare,hdf5,recon,1,0.051000,108992
bare,hdf5,produce,10,0.045000,96239
bare,hdf5,recon,10,0.056000,127570
bare,hdf5,produce,100,0.060000,243726
bare,hdf5,recon,100,0.077000,278912
bare,hdf5,produce,1000,0.247000,1830394
bare,hdf5,recon,1000,0.302000,1871464
bare,hdf5,produce,10000,2.075000,17793838
bare,hdf5,recon,10000,2.713000,18070331
bare,hdf5,produce,100000,21.163000,175522158
bare,hdf5,recon,100000,26.891000,178698724
