runner,writer,reader,mode,events,time,size
bare,root,root,produce,1,1.286000,17625
bare,root,root,recon,1,1.251000,19294
bare,root,root,produce,5,1.257000,24751
bare,root,root,recon,5,1.263000,26629
bare,root,root,produce,10,1.247000,36167
bare,root,root,recon,10,1.254000,38282
bare,root,root,produce,50,1.274000,102641
bare,root,root,recon,50,1.260000,106441
bare,root,root,produce,100,1.292000,187662
bare,root,root,recon,100,1.293000,193450
bare,root,root,produce,500,1.662000,927737
bare,root,root,recon,500,1.669000,947658
bare,root,root,produce,1000,2.078000,1807140
bare,root,root,recon,1000,2.101000,1844116
bare,root,root,produce,5000,5.629000,9081548
bare,root,root,recon,5000,5.716000,9254861
bare,root,root,produce,10000,9.981000,18127002
bare,root,root,recon,10000,10.214000,18470356
bare,root,root,produce,50000,49.592000,89198920
bare,root,root,recon,50000,53.070000,90690313
bare,root,root,produce,100000,100.664000,178103069
bare,root,root,recon,100000,105.202000,181325620
bare,root,root,produce,500000,506.512000,886287504
bare,root,root,recon,500000,518.613000,903282269
bare,root,root,produce,1000000,1015.695000,1772753723
bare,root,root,recon,1000000,1035.200000,1806981604
bare,root,hdf5,recon,1,1.221000,111417
bare,root,hdf5,recon,5,1.225000,118375
bare,root,hdf5,recon,10,1.222000,130001
bare,root,hdf5,recon,50,1.231000,196646
bare,root,hdf5,recon,100,1.235000,281341
bare,root,hdf5,recon,500,1.328000,1021301
bare,root,hdf5,recon,1000,1.414000,1899886
bare,root,hdf5,recon,5000,2.205000,9154185
bare,root,hdf5,recon,10000,3.195000,18171162
bare,root,hdf5,recon,50000,11.069000,89588449
bare,root,hdf5,recon,100000,20.870000,179003293
bare,root,hdf5,recon,500000,99.267000,891233453
bare,root,hdf5,recon,1000000,197.412000,1782920983
bare,hdf5,hdf5,produce,1,0.201000,78186
bare,hdf5,hdf5,recon,1,0.210000,108993
bare,hdf5,hdf5,produce,5,0.205000,84890
bare,hdf5,hdf5,recon,5,0.210000,115947
bare,hdf5,hdf5,produce,10,0.201000,96239
bare,hdf5,hdf5,recon,10,0.211000,127571
bare,hdf5,hdf5,produce,50,0.214000,161024
bare,hdf5,hdf5,recon,50,0.222000,194218
bare,hdf5,hdf5,produce,100,0.221000,243725
bare,hdf5,hdf5,recon,100,0.233000,278912
bare,hdf5,hdf5,produce,500,0.296000,969192
bare,hdf5,hdf5,recon,500,0.334000,1018877
bare,hdf5,hdf5,produce,1000,0.391000,1830394
bare,hdf5,hdf5,recon,1000,0.456000,1897459
bare,hdf5,hdf5,produce,5000,1.151000,8947459
bare,hdf5,hdf5,recon,5000,1.437000,9151752
bare,hdf5,hdf5,produce,10000,2.132000,17793840
bare,hdf5,hdf5,recon,10000,2.662000,18168717
bare,hdf5,hdf5,produce,50000,9.885000,87831629
bare,hdf5,hdf5,recon,50000,12.436000,89585990
bare,hdf5,hdf5,produce,100000,19.623000,175522152
bare,hdf5,hdf5,recon,100000,24.544000,179000828
bare,hdf5,hdf5,produce,500000,97.126000,873957644
bare,hdf5,hdf5,recon,500000,121.543000,891231020
bare,hdf5,hdf5,produce,1000000,193.923000,1748351338
bare,hdf5,hdf5,recon,1000000,243.697000,1782918464
